score,time_seconds,collisions_seconds,seed
43,1200,1463.03,233258
29,1200,1689.22,976218
30,1200,2328.22,723570
31,1200,1861.81,484130
30,1200,1970.64,224399
35,1200,2026.67,986182
27,1200,2024.2,771548
36,1200,1315.72,548029
30,1200,2088.91,281412
18,1200,2195.67,38534
24,1200,1965.61,916063
18,1200,2202.75,744355
39,1200,2009.44,623155
43,1200,1265.23,395698
33,1200,1905.89,226122
34,1200,1544.73,27146
66,1200,693.625,884856
43,1200,1453.98,657794
37,1200,1894.7,480508
30,1200,1878.78,388765
44,1200,1407.25,269595
39,1200,1324.78,137614
32,1200,1795.89,47204
33,1200,1803.45,972954
33,1200,1853.97,915732
32,1200,1863.95,832039
29,1200,1929.78,886717
23,1200,2069.7,846386
17,1200,2152.05,797553
57,1200,1056.59,802041
