score,time_seconds,collisions_seconds,seed
//-20 sitefidelity - only SF congestion
55,1200,2618.88,940559
47,1200,2670.92,764212
59,1200,2117.27,653786
40,1200,3311.77,468239
62,1200,2034.69,467857
35,1200,3202.66,327500
41,1200,3171.89,382269
23,1200,3776.12,349031
71,1200,1153.73,438958
70,1200,1218.14,183416
48,1200,2887.36,789514
43,1200,2521.48,772925
73,1200,1478.06,712720
40,1200,2852.41,499153
79,1200,945.938,434887
55,1200,2516.92,38813
67,1200,2164.14,956769
76,1200,1112.23,835631
39,1200,2764.38,537645
68,1200,1835.34,642507
65,1200,1915.81,521437
61,1200,2308.33,463376
37,1200,3308.41,410104
34,1200,2710.44,425815

---Averages
score 53.07
collisions_seconds: 2383.79

//-20 sitefidelity - only SF congestion
//35/65 SF-RS
48,1200,2529.38,214910
51,1200,2488.7,358459
78,1134,1082.86,983989
61,1200,2426.62,34200
41,1200,2959.69,728494
60,1200,2316.73,510513
50,1200,2787.28,202538
78,1200,1295.03,970707
49,1200,2522.47,461154
79,1163,1037.64,201943
50,1200,2265.94,570693
56,1200,2104.52,346982
45,1200,2633.86,195286
69,1200,1676.31,152827
65,1200,1415.08,30412
50,1200,2491.38,848158
62,1200,1983.41,740300
75,1200,1492.97,538155
52,1200,2489.73,182121
72,1200,1783.55,139856
69,1200,1226.52,928744
76,1200,1643.27,681493
50,1200,2581.14,440202
63,1200,1822.39,264842
74,1200,1129,86352
57,1200,2000.22,828418
70,1200,1852.83,753677
53,1200,2521.72,582463
69,1200,1414.12,525802
74,1200,1248.42,312241

---Averages
score 61.53
collisions_seconds: 1974.09

//normal
//35/65 SF-RS
58,1200,2763.27,157288
73,1200,1048.91,420101
61,1200,1833.78,907747
70,1200,2013.91,464128
78,1200,1302.59,54728
60,1200,1951.97,528622
70,1200,2091.31,272807
46,1200,2354.72,12965
79,1167,1331.8,795099
60,1200,2111.52,226896
59,1200,2054.56,40046
36,1200,3144.39,966430
46,1200,2483.58,883099
66,1200,1853.58,762369
79,1078,1088.11,499501
57,1200,1947.86,564153
75,1200,1498.64,427469
68,1200,1834.42,84689
59,1200,1749.84,881296
73,1200,1578.41,708688
37,1200,2772.56,474798
71,1200,1096.64,245201
46,1200,2846.44,933213
59,1200,2356.95,4217
74,1200,1592.19,894103
43,1200,2335.19,686239
46,1200,2682.61,759356
67,1200,1788.8,861979
51,1200,2343.69,775208
54,1200,2091.45,650357

---Averages
score 60.70
