score,time_seconds,collisions_seconds,seed
7,1200,8299.7,22109
10,1200,7457.44,19461
9,1200,7715.84,44221
11,1200,8259.19,215964
10,1200,7603.44,563207
13,1200,7973.16,958111
9,1200,7466.3,302593
5,1200,8100.48,731548
7,1200,7306.78,186521
5,1200,8352.11,648256
12,1200,7443.23,322150
7,1200,7551,718348
5,1200,8598.5,256996
10,1200,8285.78,873499
10,1200,7535.09,433203
9,1200,8422.06,874890
10,1200,7556.78,472408
7,1200,7821.44,966335
8,1200,7889.91,509765
8,1200,7579.98,5474
9,1200,7823.25,409951
10,1200,7534.23,774975
13,1200,7979.44,945168
12,1200,7763.08,358793
8,1200,7914.66,670234
12,1200,7482.22,86226
9,1200,7812.34,365714
5,1200,7685.23,611764
4,1200,7635.45,937064
10,1200,7416.48,273777
