score,time_seconds,collisions_seconds,seed
6,1200,9297.31,724283
7,1200,9616.34,475273
8,1200,9881.12,780146
7,1200,9798.98,132677
5,1200,10070.4,657746
9,1200,9876.25,296423
10,1200,9469.94,35874
9,1200,10211.3,753987
7,1200,9899.5,525361
8,1200,10202.2,135910
5,1200,9442.34,30666
11,1200,9441.8,927197
9,1200,10032.2,760435
10,1200,9970.77,716883
12,1200,9643.09,545792
5,1200,10109.3,511033
10,1200,8762.41,449658
7,1200,9956.92,173526
3,1200,10152.2,975356
8,1200,9646.97,642771
5,1200,10069.4,355503
12,1200,9195.73,980835
11,1200,9484.3,808495
8,1200,10475.2,468204
6,1200,8658.28,195891
10,1200,9194.16,882423
9,1200,9243.52,611174
8,1200,9611.02,395830
7,1200,10562,407745
3,1200,9972.16,411646
35,1200,1960.22,228419
35,1200,1716.3,640190
27,1200,1926.77,896236
33,1200,1853.11,699397
38,1200,1626.67,233258
29,1200,1689.22,976218
30,1200,2038.02,723570
27,1200,1946.84,484130
32,1200,2054.83,224399
34,1200,1993.16,986182
25,1200,2272.81,771548
30,1200,2126.45,771548
36,1200,2095.78,771548
56,1200,1521.88,771548
61,1200,1282.97,771548
37,1200,1932.38,771548
30,1200,2167.84,771548
34,1200,1909.22,771548
38,1200,1935.19,771548
38,1200,1935.19,771548
50,1200,1569.2,771548
48,1200,1672.81,771548
50,1200,1701.27,771548
33,1200,1861.23,771548
33,1200,1861.23,771548
27,1200,2024.2,771548
47,1200,1244.78,771548
47,1200,1359.48,771548
37,1200,1782.73,771548
47,1200,1244.78,771548
47,1200,1244.78,771548
47,1200,1244.78,771548
78,1200,535.297,771548
79,1174.5,394.844,771548
78,1088,416.516,771548
78,1088,416.516,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
79,1200,1257.33,771548
45,1200,2938.17,771548
75,1200,1951.44,771548
43,1200,2789.62,771548
79,1200,1257.33,771548
69,1200,1651.39,771548
57,1200,2204.97,771548
57,1200,2204.97,771548
