score,time_seconds,collisions_seconds,seed
14,1200,5476.44,139861
13,1200,5338.45,698075
5,1200,5748.92,524715
11,1200,5371.94,296496
9,1200,5653.62,178332
12,1200,5297.12,990759
14,1200,5666.03,919693
12,1200,5881.11,928926
11,1200,5342.27,912793
11,1200,5741.53,904528
12,1200,5710.88,929002
11,1200,5565.55,20413
6,1200,5513.05,99772
6,1200,5703.11,161804
11,1200,5891.22,296461
22,1200,5145.73,410197
11,1200,5518.5,465470
12,1200,6128.03,602058
12,1200,6490.53,858686
16,1200,4943.67,205207
9,1200,5843.8,348985
15,1200,5311.69,717418
11,1200,6150.41,936432
11,1200,5743.09,189446
13,1200,6298.28,480544
11,1200,5890.91,766824
12,1200,4963.31,12319
10,1200,5711.83,281286
12,1200,6055.23,656956
13,1200,5638.61,922672
